Country,Model,Year,Review Score,Sales Volume
Germany,Peugeot,F-PACE,2019,4.0,10545
USA,Peugeot,F-PACE,2019,3.3,4665
France,Peugeot,F-PACE,2020,1.8,9909
Germany,Peugeot,F-PACE,2020,1.6,14176
USA,Peugeot,F-PACE,2020,4.8,8570
France,Peugeot,F-PACE,2012,4.5,17181
Germany,Peugeot,F-PACE,2012,4.6,14720
USA,Peugeot,F-PACE,2012,4.4,17273
France,Peugeot,F-PACE,2014,3.8,18403
Germany,Peugeot,F-PACE,2014,2.4,11342
USA,Peugeot,F-PACE,2014,3.2,6771
France,Peugeot,F-PACE,2016,1.7,16854
Germany,Peugeot,F-PACE,2016,4.7,15076
USA,Peugeot,F-PACE,2016,1.5,17669
France,Peugeot,F-PACE,2018,4.8,2794
Germany,Peugeot,F-PACE,2018,3.0,15315
USA,Peugeot,F-PACE,2018,3.0,3515
France,Peugeot,F-PACE,2013,4.8,16882
Germany,Peugeot,F-PACE,2013,1.3,15218
USA,Peugeot,F-PACE,2013,1.7,1180
France,Peugeot,F-PACE,2010,3.3,11224
Germany,Peugeot,F-PACE,2010,2.8,6608
USA,Peugeot,F-PACE,2010,1.4,6730
France,Peugeot,F-PACE,2015,1.1,10455
Germany,Peugeot,F-PACE,2015,2.4,8860
USA,Peugeot,F-PACE,2015,2.5,2002
France,Peugeot,Santa Fe,2017,2.5,9145
Germany,Peugeot,Santa Fe,2017,4.3,4179
USA,Peugeot,Santa Fe,2017,4.6,3985
France,Peugeot,Santa Fe,2011,4.6,17950
Germany,Peugeot,Santa Fe,2011,1.9,6783
USA,Peugeot,Santa Fe,2011,3.3,17187
France,Peugeot,Santa Fe,2021,4.3,11290
Germany,Peugeot,Santa Fe,2021,2.6,13301
USA,Peugeot,Santa Fe,2021,1.7,12309
France,Peugeot,Santa Fe,2022,3.8,1599
Germany,Peugeot,Santa Fe,2022,2.4,2709
USA,Peugeot,Santa Fe,2022,2.7,5064
France,Peugeot,Santa Fe,2019,4.1,12084
Germany,Peugeot,Santa Fe,2019,4.5,8422
USA,Peugeot,Santa Fe,2019,2.5,11131
France,Peugeot,Santa Fe,2020,2.3,1693
Germany,Peugeot,Santa Fe,2020,2.4,6534
USA,Peugeot,Santa Fe,2020,4.5,2720
France,Peugeot,Santa Fe,2012,4.3,1710
Germany,Peugeot,Santa Fe,2012,2.8,7712
USA,Peugeot,Santa Fe,2012,4.4,7975
France,Peugeot,Santa Fe,2014,2.6,11767
Germany,Peugeot,Santa Fe,2014,4.2,8793
USA,Peugeot,Santa Fe,2014,4.5,2362
France,Peugeot,Santa Fe,2016,3.1,5131
Germany,Peugeot,Santa Fe,2016,2.2,8003
USA,Peugeot,Santa Fe,2016,1.4,15769
France,Peugeot,Santa Fe,2018,4.5,4413
Germany,Peugeot,Santa Fe,2018,2.9,5131
USA,Peugeot,Santa Fe,2018,1.4,6087
France,Peugeot,Santa Fe,2013,2.0,11179
Germany,Peugeot,Santa Fe,2013,2.3,3614
USA,Peugeot,Santa Fe,2013,4.5,9250
France,Peugeot,Santa Fe,2010,3.6,14810
Germany,Peugeot,Santa Fe,2010,4.7,17768
USA,Peugeot,Santa Fe,2010,1.8,14799
France,Peugeot,Santa Fe,2015,4.0,1442
Germany,Peugeot,Santa Fe,2015,1.7,10917
USA,Peugeot,Santa Fe,2015,3.2,10477
France,Peugeot,RX,2017,3.6,13501
Germany,Peugeot,RX,2017,2.2,11004
USA,Peugeot,RX,2017,4.4,3069
France,Peugeot,RX,2011,1.6,3443
Germany,Peugeot,RX,2011,4.9,3587
USA,Peugeot,RX,2011,1.8,9632
France,Peugeot,RX,2021,3.7,12836
Germany,Peugeot,RX,2021,4.6,16423
USA,Peugeot,RX,2021,3.1,12519
France,Peugeot,RX,2022,3.4,1386
Germany,Peugeot,RX,2022,4.8,13538
USA,Peugeot,RX,2022,4.2,13660
France,Peugeot,RX,2019,1.3,7210
Germany,Peugeot,RX,2019,4.0,16527
USA,Peugeot,RX,2019,3.8,13284
France,Peugeot,RX,2020,1.9,1916
Germany,Peugeot,RX,2020,2.0,11048
USA,Peugeot,RX,2020,1.9,15700
France,Peugeot,RX,2012,1.2,12835
Germany,Peugeot,RX,2012,4.0,2459
USA,Peugeot,RX,2012,2.4,5550
France,Peugeot,RX,2014,4.4,13732
Germany,Peugeot,RX,2014,1.6,4553
USA,Peugeot,RX,2014,2.5,15138
France,Peugeot,RX,2016,4.0,13203
Germany,Peugeot,RX,2016,4.6,14909
USA,Peugeot,RX,2016,2.0,5793
France,Peugeot,RX,2018,3.4,3223
Germany,Peugeot,RX,2018,4.0,16048
USA,Peugeot,RX,2018,4.1,11415
France,Peugeot,RX,2013,3.5,7086
Germany,Peugeot,RX,2013,2.5,11961
USA,Peugeot,RX,2013,4.4,14601
France,Peugeot,RX,2010,2.5,11943
Germany,Peugeot,RX,2010,2.3,10090
USA,Peugeot,RX,2010,4.6,4347
France,Peugeot,RX,2015,4.4,17922
Germany,Peugeot,RX,2015,3.7,15998
USA,Peugeot,RX,2015,3.8,6312
France,Peugeot,Regal,2017,4.1,17528
Germany,Peugeot,Regal,2017,1.9,17701
USA,Peugeot,Regal,2017,4.0,4933
France,Peugeot,Regal,2011,4.1,3962
Germany,Peugeot,Regal,2011,3.5,5347
USA,Peugeot,Regal,2011,3.4,14597
France,Peugeot,Regal,2021,4.8,16293
Germany,Peugeot,Regal,2021,4.8,16790
USA,Peugeot,Regal,2021,2.7,6852
France,Peugeot,Regal,2022,2.9,7742
Germany,Peugeot,Regal,2022,2.9,2536
USA,Peugeot,Regal,2022,2.0,12515
France,Peugeot,Regal,2019,1.9,15051
Germany,Peugeot,Regal,2019,3.5,5363
USA,Peugeot,Regal,2019,4.3,2682
France,Peugeot,Regal,2020,3.1,15485
Germany,Peugeot,Regal,2020,1.8,8073
USA,Peugeot,Regal,2020,4.8,13322
France,Peugeot,Regal,2012,2.1,10680
Germany,Peugeot,Regal,2012,2.0,17313
USA,Peugeot,Regal,2012,3.4,15807
France,Peugeot,Regal,2014,2.4,1010
Germany,Peugeot,Regal,2014,4.5,8474
USA,Peugeot,Regal,2014,4.4,8738
France,Peugeot,Regal,2016,3.2,2811
Germany,Peugeot,Regal,2016,2.7,6050
USA,Peugeot,Regal,2016,4.4,8361
France,Peugeot,Regal,2018,4.4,18223
Germany,Peugeot,Regal,2018,4.4,7535
USA,Peugeot,Regal,2018,4.2,6256
France,Peugeot,Regal,2013,1.8,6645
Germany,Peugeot,Regal,2013,2.5,4264
USA,Peugeot,Regal,2013,1.3,15159
France,Peugeot,Regal,2010,1.4,16948
Germany,Peugeot,Regal,2010,3.4,9872
USA,Peugeot,Regal,2010,2.6,14634
France,Peugeot,Regal,2015,3.6,4335
Germany,Peugeot,Regal,2015,1.7,13875
USA,Peugeot,Regal,2015,2.5,18274
France,Peugeot,Captur,2017,4.6,5221
Germany,Peugeot,Captur,2017,2.4,6376
USA,Peugeot,Captur,2017,1.9,10268
France,Peugeot,Captur,2011,3.4,10242
Germany,Peugeot,Captur,2011,4.9,12634
USA,Peugeot,Captur,2011,1.6,7619
France,Peugeot,Captur,2021,4.5,1147
Germany,Peugeot,Captur,2021,3.4,6326
USA,Peugeot,Captur,2021,2.0,13737
France,Peugeot,Captur,2022,3.6,9108
Germany,Peugeot,Captur,2022,1.5,5282
USA,Peugeot,Captur,2022,3.9,1431
France,Peugeot,Captur,2019,2.8,12975
Germany,Peugeot,Captur,2019,4.5,15818
USA,Peugeot,Captur,2019,4.4,8684
France,Peugeot,Captur,2020,3.2,12825
Germany,Peugeot,Captur,2020,4.1,4128
USA,Peugeot,Captur,2020,4.2,9041
France,Peugeot,Captur,2012,4.9,17083
Germany,Peugeot,Captur,2012,1.2,6429
USA,Peugeot,Captur,2012,2.8,11693
France,Peugeot,Captur,2014,1.2,17156
Germany,Peugeot,Captur,2014,1.1,11257
USA,Peugeot,Captur,2014,2.6,15801
France,Peugeot,Captur,2016,1.7,11252
Germany,Peugeot,Captur,2016,4.0,17866
USA,Peugeot,Captur,2016,1.2,16678
France,Peugeot,Captur,2018,3.1,18073
Germany,Peugeot,Captur,2018,4.5,4173
USA,Peugeot,Captur,2018,2.0,16364
France,Peugeot,Captur,2013,2.9,9879
Germany,Peugeot,Captur,2013,4.6,4747
USA,Peugeot,Captur,2013,4.7,9608
France,Peugeot,Captur,2010,4.5,3038
Germany,Peugeot,Captur,2010,3.2,17297
USA,Peugeot,Captur,2010,4.6,12519
France,Peugeot,Captur,2015,3.1,2174
Germany,Peugeot,Captur,2015,4.2,6481
USA,Peugeot,Captur,2015,2.4,933
France,Peugeot,Panamera,2017,2.7,5599
Germany,Peugeot,Panamera,2017,3.9,1067
USA,Peugeot,Panamera,2017,3.0,6448
France,Peugeot,Panamera,2011,2.7,16779
Germany,Peugeot,Panamera,2011,4.8,13167
USA,Peugeot,Panamera,2011,2.5,5262
France,Peugeot,Panamera,2021,3.5,1412
Germany,Peugeot,Panamera,2021,4.7,3570
USA,Peugeot,Panamera,2021,1.5,9555
France,Peugeot,Panamera,2022,2.6,10104
Germany,Peugeot,Panamera,2022,4.3,15965
USA,Peugeot,Panamera,2022,3.3,9511
France,Peugeot,Panamera,2019,2.7,9745
Germany,Peugeot,Panamera,2019,1.5,6358
USA,Peugeot,Panamera,2019,1.2,3485
France,Peugeot,Panamera,2020,3.4,1006
Germany,Peugeot,Panamera,2020,4.5,18325
USA,Peugeot,Panamera,2020,2.6,6324
France,Peugeot,Panamera,2012,3.5,12134
Germany,Peugeot,Panamera,2012,4.0,8320
USA,Peugeot,Panamera,2012,1.9,8122
France,Peugeot,Panamera,2014,3.1,5495
Germany,Peugeot,Panamera,2014,2.8,3695
USA,Peugeot,Panamera,2014,3.6,14723
France,Peugeot,Panamera,2016,4.2,10675
Germany,Peugeot,Panamera,2016,3.5,11316
USA,Peugeot,Panamera,2016,4.5,1977
France,Peugeot,Panamera,2018,1.7,3460
Germany,Peugeot,Panamera,2018,3.7,8810
USA,Peugeot,Panamera,2018,3.7,2817
France,Peugeot,Panamera,2013,2.6,2170
Germany,Peugeot,Panamera,2013,3.2,18190
USA,Peugeot,Panamera,2013,3.2,8884
France,Peugeot,Panamera,2010,4.5,15256
Germany,Peugeot,Panamera,2010,4.7,7933
USA,Peugeot,Panamera,2010,4.0,5963
France,Peugeot,Panamera,2015,1.7,4293
Germany,Peugeot,Panamera,2015,4.2,5376
USA,Peugeot,Panamera,2015,3.4,3052
France,Peugeot,7 Series,2017,2.5,1926
Germany,Peugeot,7 Series,2017,2.3,15384
USA,Peugeot,7 Series,2017,4.1,13246
France,Peugeot,7 Series,2011,4.8,11093
Germany,Peugeot,7 Series,2011,3.4,3630
USA,Peugeot,7 Series,2011,1.8,8961
France,Peugeot,7 Series,2021,2.7,9449
Germany,Peugeot,7 Series,2021,3.4,6576
USA,Peugeot,7 Series,2021,1.8,17947
France,Peugeot,7 Series,2022,1.7,17662
Germany,Peugeot,7 Series,2022,3.5,3533
USA,Peugeot,7 Series,2022,3.5,2231
France,Peugeot,7 Series,2019,1.9,12115
Germany,Peugeot,7 Series,2019,4.5,11194
USA,Peugeot,7 Series,2019,2.0,6670
France,Peugeot,7 Series,2020,2.8,14786
Germany,Peugeot,7 Series,2020,1.5,12255
USA,Peugeot,7 Series,2020,2.6,18432
France,Peugeot,7 Series,2012,4.3,9814
Germany,Peugeot,7 Series,2012,1.6,6473
USA,Peugeot,7 Series,2012,4.9,16403
France,Peugeot,7 Series,2014,4.7,15085
Germany,Peugeot,7 Series,2014,4.6,9223
USA,Peugeot,7 Series,2014,4.2,9064
France,Peugeot,7 Series,2016,4.0,7199
Germany,Peugeot,7 Series,2016,1.4,4673
USA,Peugeot,7 Series,2016,1.8,12408
France,Peugeot,7 Series,2018,3.5,4267
Germany,Peugeot,7 Series,2018,3.1,9251
USA,Peugeot,7 Series,2018,4.6,13440
France,Peugeot,7 Series,2013,1.8,8733
Germany,Peugeot,7 Series,2013,3.5,18053
USA,Peugeot,7 Series,2013,2.1,9621
France,Peugeot,7 Series,2010,4.1,8539
Germany,Peugeot,7 Series,2010,4.8,2878
USA,Peugeot,7 Series,2010,4.4,2073
France,Peugeot,7 Series,2015,1.4,5851
Germany,Peugeot,7 Series,2015,3.5,3092
USA,Peugeot,7 Series,2015,4.1,17029
France,Lexus,XF,2017,4.1,4289
Germany,Lexus,XF,2017,1.5,1524
USA,Lexus,XF,2017,1.6,12784
France,Lexus,XF,2011,2.5,1445
Germany,Lexus,XF,2011,1.5,11817
USA,Lexus,XF,2011,2.1,10407
France,Lexus,XF,2021,3.4,10185
Germany,Lexus,XF,2021,1.6,12276
USA,Lexus,XF,2021,3.3,14990
France,Lexus,XF,2022,1.4,4727
Germany,Lexus,XF,2022,3.2,791
USA,Lexus,XF,2022,1.8,15353
France,Lexus,XF,2019,3.4,8816
Germany,Lexus,XF,2019,3.0,13191
USA,Lexus,XF,2019,1.6,1634
France,Lexus,XF,2020,1.7,4416
Germany,Lexus,XF,2020,4.2,1553
USA,Lexus,XF,2020,1.7,14811
France,Lexus,XF,2012,2.7,10307
Germany,Lexus,XF,2012,3.5,12056
USA,Lexus,XF,2012,1.1,5197
France,Lexus,XF,2014,4.8,9203
Germany,Lexus,XF,2014,3.0,663
USA,Lexus,XF,2014,1.9,14091
France,Lexus,XF,2016,2.3,15577
Germany,Lexus,XF,2016,2.9,14418
USA,Lexus,XF,2016,3.0,3151
France,Lexus,XF,2018,4.3,13613
Germany,Lexus,XF,2018,2.0,8945
USA,Lexus,XF,2018,2.5,18280
France,Lexus,XF,2013,1.8,8700
Germany,Lexus,XF,2013,1.9,1729
USA,Lexus,XF,2013,3.3,13588
France,Lexus,XF,2010,4.2,12931
Germany,Lexus,XF,2010,2.1,5362
USA,Lexus,XF,2010,2.9,8831
France,Lexus,XF,2015,4.9,8529
Germany,Lexus,XF,2015,2.4,16644
USA,Lexus,XF,2015,2.1,18364
France,Lexus,Grandland X,2017,4.0,3640
Germany,Lexus,Grandland X,2017,1.6,18035
USA,Lexus,Grandland X,2017,3.5,10473
France,Lexus,Grandland X,2011,2.1,10054
Germany,Lexus,Grandland X,2011,2.5,13725
USA,Lexus,Grandland X,2011,3.9,11525
France,Lexus,Grandland X,2021,1.4,10308
Germany,Lexus,Grandland X,2021,4.8,12459
USA,Lexus,Grandland X,2021,2.1,15829
France,Lexus,Grandland X,2022,4.4,14626
Germany,Lexus,Grandland X,2022,2.8,18358
USA,Lexus,Grandland X,2022,3.9,2680
France,Lexus,Grandland X,2019,3.4,5627
Germany,Lexus,Grandland X,2019,1.9,10257
USA,Lexus,Grandland X,2019,2.2,6796
France,Lexus,Grandland X,2020,3.6,9395
Germany,Lexus,Grandland X,2020,4.4,12777
USA,Lexus,Grandland X,2020,3.3,7484
France,Lexus,Grandland X,2012,2.5,17670
Germany,Lexus,Grandland X,2012,1.2,10486
USA,Lexus,Grandland X,2012,1.9,9413
France,Lexus,Grandland X,2014,4.6,5799
Germany,Lexus,Grandland X,2014,1.8,8469
USA,Lexus,Grandland X,2014,4.6,11123
France,Lexus,Grandland X,2016,1.7,14410
Germany,Lexus,Grandland X,2016,1.5,16042
USA,Lexus,Grandland X,2016,2.6,13617
France,Lexus,Grandland X,2018,1.6,943
Germany,Lexus,Grandland X,2018,3.9,2367
USA,Lexus,Grandland X,2018,3.9,10050
France,Lexus,Grandland X,2013,2.5,653
Germany,Lexus,Grandland X,2013,1.3,13490
USA,Lexus,Grandland X,2013,2.3,13126
France,Lexus,Grandland X,2010,1.1,12268
Germany,Lexus,Grandland X,2010,4.4,16457
USA,Lexus,Grandland X,2010,1.4,6996
France,Lexus,Grandland X,2015,2.3,1887
Germany,Lexus,Grandland X,2015,2.4,5875
USA,Lexus,Grandland X,2015,2.9,15168
France,Lexus,500X,2017,4.9,10954
Germany,Lexus,500X,2017,2.7,13640
USA,Lexus,500X,2017,1.3,10223
France,Lexus,500X,2011,3.8,10426
Germany,Lexus,500X,2011,4.0,14457
USA,Lexus,500X,2011,3.3,14607
France,Lexus,500X,2021,3.3,14388
Germany,Lexus,500X,2021,1.7,7376
USA,Lexus,500X,2021,1.8,18454
France,Lexus,500X,2022,3.6,18333
Germany,Lexus,500X,2022,4.6,8391
USA,Lexus,500X,2022,1.4,5883
France,Lexus,500X,2019,2.3,9717
Germany,Lexus,500X,2019,2.2,2774
USA,Lexus,500X,2019,1.4,14345
France,Lexus,500X,2020,1.4,15326
Germany,Lexus,500X,2020,2.1,17022
USA,Lexus,500X,2020,2.9,15803
France,Lexus,500X,2012,4.7,3210
Germany,Lexus,500X,2012,1.7,14340
USA,Lexus,500X,2012,1.9,4447
France,Lexus,500X,2014,1.3,16990
Germany,Lexus,500X,2014,4.0,10696
USA,Lexus,500X,2014,2.5,4115
France,Lexus,500X,2016,3.1,13801
Germany,Lexus,500X,2016,4.0,11199
USA,Lexus,500X,2016,4.1,17470
France,Lexus,500X,2018,3.4,18043
Germany,Lexus,500X,2018,2.3,12045
USA,Lexus,500X,2018,1.2,2285
France,Lexus,500X,2013,1.4,10001
Germany,Lexus,500X,2013,4.0,16432
USA,Lexus,500X,2013,1.3,13890
France,Lexus,500X,2010,2.8,10405
Germany,Lexus,500X,2010,4.4,2394
USA,Lexus,500X,2010,3.1,1272
France,Lexus,500X,2015,3.9,10959
Germany,Lexus,500X,2015,3.9,11196
USA,Lexus,500X,2015,1.3,8353
France,Lexus,Model X,2017,2.3,6975
Germany,Lexus,Model X,2017,1.3,11478
USA,Lexus,Model X,2017,1.9,10639
France,Lexus,Model X,2011,1.9,18144
Germany,Lexus,Model X,2011,4.2,14453
USA,Lexus,Model X,2011,3.0,9097
France,Lexus,Model X,2021,3.7,14977
Germany,Lexus,Model X,2021,2.4,3407
USA,Lexus,Model X,2021,3.8,6837
France,Lexus,Model X,2022,2.9,6159
Germany,Lexus,Model X,2022,3.2,7404
USA,Lexus,Model X,2022,2.9,2919
France,Lexus,Model X,2019,3.1,13832
Germany,Lexus,Model X,2019,2.4,3726
USA,Lexus,Model X,2019,3.4,9307
France,Lexus,Model X,2020,2.0,5102
Germany,Lexus,Model X,2020,4.8,6452
USA,Lexus,Model X,2020,1.5,13957
France,Lexus,Model X,2012,4.3,17251
Germany,Lexus,Model X,2012,3.2,17924
USA,Lexus,Model X,2012,4.7,4658
France,Lexus,Model X,2014,1.9,12124
Germany,Lexus,Model X,2014,3.9,1442
USA,Lexus,Model X,2014,3.4,17119
France,Lexus,Model X,2016,4.6,9854
Germany,Lexus,Model X,2016,3.3,1005
USA,Lexus,Model X,2016,4.0,8117
France,Lexus,Model X,2018,3.3,4255
Germany,Lexus,Model X,2018,2.5,10668
USA,Lexus,Model X,2018,4.7,15754
France,Lexus,Model X,2013,4.4,4210
Germany,Lexus,Model X,2013,1.8,14960
USA,Lexus,Model X,2013,1.9,4905
France,Lexus,Model X,2010,1.3,13982
Germany,Lexus,Model X,2010,2.8,13870
USA,Lexus,Model X,2010,4.2,4183
France,Lexus,Model X,2015,2.8,16815
Germany,Lexus,Model X,2015,3.7,15153
USA,Lexus,Model X,2015,2.6,3593
France,Lexus,Ascent,2017,3.8,15186
Germany,Lexus,Ascent,2017,1.2,6604
USA,Lexus,Ascent,2017,3.3,13633
France,Lexus,Ascent,2011,2.7,811
Germany,Lexus,Ascent,2011,1.3,8688
USA,Lexus,Ascent,2011,3.5,5842
France,Lexus,Ascent,2021,2.8,2313
Germany,Lexus,Ascent,2021,2.1,16245
USA,Lexus,Ascent,2021,1.9,10272
France,Lexus,Ascent,2022,2.6,5279
Germany,Lexus,Ascent,2022,3.4,4799
USA,Lexus,Ascent,2022,2.8,9167
France,Lexus,Ascent,2019,3.4,14654
Germany,Lexus,Ascent,2019,1.5,14287
USA,Lexus,Ascent,2019,1.7,17948
France,Lexus,Ascent,2020,4.6,10900
Germany,Lexus,Ascent,2020,2.2,2256
USA,Lexus,Ascent,2020,2.4,2113
France,Lexus,Ascent,2012,4.3,4171
Germany,Lexus,Ascent,2012,4.8,12475
USA,Lexus,Ascent,2012,2.8,4392
France,Lexus,Ascent,2014,4.2,7532
Germany,Lexus,Ascent,2014,4.9,2566
USA,Lexus,Ascent,2014,2.3,11470
France,Lexus,Ascent,2016,3.2,1766
Germany,Lexus,Ascent,2016,2.1,7539
USA,Lexus,Ascent,2016,1.4,17056
France,Lexus,Ascent,2018,4.8,13256
Germany,Lexus,Ascent,2018,3.5,14699
USA,Lexus,Ascent,2018,3.4,10595
France,Lexus,Ascent,2013,3.6,7481
Germany,Lexus,Ascent,2013,2.0,14541
USA,Lexus,Ascent,2013,3.6,17578
France,Lexus,Ascent,2010,4.2,2309
Germany,Lexus,Ascent,2010,2.8,3980
USA,Lexus,Ascent,2010,1.3,8215
France,Lexus,Ascent,2015,1.7,17355
Germany,Lexus,Ascent,2015,1.8,10215
USA,Lexus,Ascent,2015,4.9,11894
France,Lexus,LS,2017,2.3,3137
Germany,Lexus,LS,2017,1.5,9183
USA,Lexus,LS,2017,3.0,8915
France,Lexus,LS,2011,1.8,8707
Germany,Lexus,LS,2011,2.3,3643
USA,Lexus,LS,2011,2.2,9013
France,Lexus,LS,2021,3.0,5714
Germany,Lexus,LS,2021,3.1,14650
USA,Lexus,LS,2021,3.4,6494
France,Lexus,LS,2022,2.6,1087
Germany,Lexus,LS,2022,4.9,9200
USA,Lexus,LS,2022,4.5,17689
France,Lexus,LS,2019,1.7,7243
Germany,Lexus,LS,2019,3.8,9160
USA,Lexus,LS,2019,3.0,15846
France,Lexus,LS,2020,3.1,18218
Germany,Lexus,LS,2020,3.0,12318
USA,Lexus,LS,2020,3.1,7890
France,Lexus,LS,2012,4.3,6292
Germany,Lexus,LS,2012,3.1,4547
USA,Lexus,LS,2012,3.6,2751
France,Lexus,LS,2014,3.4,15929
Germany,Lexus,LS,2014,1.9,9328
USA,Lexus,LS,2014,2.5,5412
France,Lexus,LS,2016,2.4,4042
Germany,Lexus,LS,2016,4.3,13596
USA,Lexus,LS,2016,3.6,14535
France,Lexus,LS,2018,2.8,16162
Germany,Lexus,LS,2018,2.2,16758
USA,Lexus,LS,2018,3.2,3890
France,Lexus,LS,2013,1.7,964
Germany,Lexus,LS,2013,3.5,16709
USA,Lexus,LS,2013,1.5,14437
France,Lexus,LS,2010,2.3,16499
Germany,Lexus,LS,2010,2.0,2830
USA,Lexus,LS,2010,4.3,5025
France,Lexus,LS,2015,3.1,4686
Germany,Lexus,LS,2015,3.3,12869
USA,Lexus,LS,2015,2.9,12701
France,Lexus,Soul,2017,2.9,2840
Germany,Lexus,Soul,2017,2.0,3640
USA,Lexus,Soul,2017,4.7,13663
France,Lexus,Soul,2011,3.8,15790
Germany,Lexus,Soul,2011,1.8,13575
USA,Lexus,Soul,2011,2.1,7849
France,Lexus,Soul,2021,1.7,10430
Germany,Lexus,Soul,2021,2.8,2192
USA,Lexus,Soul,2021,3.9,9188
France,Lexus,Soul,2022,4.0,7348
Germany,Lexus,Soul,2022,3.8,14437
USA,Lexus,Soul,2022,1.9,15482
France,Lexus,Soul,2019,1.1,14496
Germany,Lexus,Soul,2019,3.1,14805
USA,Lexus,Soul,2019,4.1,9132
France,Lexus,Soul,2020,2.9,13086
Germany,Lexus,Soul,2020,2.0,12522
USA,Lexus,Soul,2020,4.7,7393
France,Lexus,Soul,2012,2.9,7901
Germany,Lexus,Soul,2012,4.3,15872
USA,Lexus,Soul,2012,3.9,1131
France,Lexus,Soul,2014,1.1,1879
Germany,Lexus,Soul,2014,4.3,3121
USA,Lexus,Soul,2014,4.2,5001
France,Lexus,Soul,2016,3.8,9874
Germany,Lexus,Soul,2016,3.4,1663
USA,Lexus,Soul,2016,3.7,1700
France,Lexus,Soul,2018,2.7,8626
Germany,Lexus,Soul,2018,3.6,6478
USA,Lexus,Soul,2018,1.8,16350
France,Lexus,Soul,2013,3.1,14518
Germany,Lexus,Soul,2013,4.4,7359
USA,Lexus,Soul,2013,4.7,13223
France,Lexus,Soul,2010,2.9,1085
Germany,Lexus,Soul,2010,3.8,17223
USA,Lexus,Soul,2010,2.2,2679
France,Lexus,Soul,2015,3.3,7068
Germany,Lexus,Soul,2015,1.9,2628
USA,Lexus,Soul,2015,2.6,11391
France,Lexus,Jetta,2017,4.9,15904
Germany,Lexus,Jetta,2017,3.9,9795
USA,Lexus,Jetta,2017,4.3,8786
France,Lexus,Jetta,2011,3.7,8249
Germany,Lexus,Jetta,2011,4.0,1169
USA,Lexus,Jetta,2011,4.6,6005
France,Lexus,Jetta,2021,1.3,17263
Germany,Lexus,Jetta,2021,2.2,10035
USA,Lexus,Jetta,2021,4.1,1374
France,Lexus,Jetta,2022,3.3,4620
Germany,Lexus,Jetta,2022,2.3,14413
USA,Lexus,Jetta,2022,3.4,9302
France,Lexus,Jetta,2019,1.2,8899
Germany,Lexus,Jetta,2019,3.5,17654
USA,Lexus,Jetta,2019,3.6,2668
France,Lexus,Jetta,2020,2.4,13481
Germany,Lexus,Jetta,2020,2.6,9268
USA,Lexus,Jetta,2020,3.3,8399
France,Lexus,Jetta,2012,3.7,12170
Germany,Lexus,Jetta,2012,3.5,9310
USA,Lexus,Jetta,2012,4.5,12642
France,Lexus,Jetta,2014,2.6,18203
Germany,Lexus,Jetta,2014,3.9,9875
USA,Lexus,Jetta,2014,4.1,12546
France,Lexus,Jetta,2016,2.9,2072
Germany,Lexus,Jetta,2016,3.8,11027
USA,Lexus,Jetta,2016,4.3,8841
France,Lexus,Jetta,2018,4.2,5275
Germany,Lexus,Jetta,2018,3.7,7968
USA,Lexus,Jetta,2018,3.5,16891
France,Lexus,Jetta,2013,4.9,16350
Germany,Lexus,Jetta,2013,2.7,7808
USA,Lexus,Jetta,2013,4.7,9715
France,Lexus,Jetta,2010,4.8,8699
Germany,Lexus,Jetta,2010,2.1,12630
USA,Lexus,Jetta,2010,3.5,11810
France,Lexus,Jetta,2015,4.2,4253
Germany,Lexus,Jetta,2015,1.7,17527
USA,Lexus,Jetta,2015,1.5,8900
France,Lexus,Mustang,2017,1.5,8495
Germany,Lexus,Mustang,2017,4.5,8593
USA,Lexus,Mustang,2017,4.2,5800
France,Lexus,Mustang,2011,3.1,10389
Germany,Lexus,Mustang,2011,1.2,11715
USA,Lexus,Mustang,2011,2.9,9275
France,Lexus,Mustang,2021,3.2,4566
Germany,Lexus,Mustang,2021,2.5,9383
USA,Lexus,Mustang,2021,2.9,17377
France,Lexus,Mustang,2022,3.6,17404
Germany,Lexus,Mustang,2022,3.1,2911
USA,Lexus,Mustang,2022,4.6,5987
France,Lexus,Mustang,2019,3.9,15649
Germany,Lexus,Mustang,2019,1.8,5162
USA,Lexus,Mustang,2019,1.8,17692
France,Lexus,Mustang,2020,2.5,4480
Germany,Lexus,Mustang,2020,1.5,10314
USA,Lexus,Mustang,2020,2.1,15210
France,Lexus,Mustang,2012,4.2,11060
Germany,Lexus,Mustang,2012,4.7,7064
USA,Lexus,Mustang,2012,3.9,5566
France,Lexus,Mustang,2014,1.3,3032
Germany,Lexus,Mustang,2014,4.3,7141
USA,Lexus,Mustang,2014,3.1,7585
France,Lexus,Mustang,2016,1.4,6496
Germany,Lexus,Mustang,2016,4.8,8964
USA,Lexus,Mustang,2016,4.6,16633
France,Lexus,Mustang,2018,4.1,11137
Germany,Lexus,Mustang,2018,1.7,11466
USA,Lexus,Mustang,2018,4.7,7683
France,Lexus,Mustang,2013,3.7,1932
Germany,Lexus,Mustang,2013,1.8,11668
USA,Lexus,Mustang,2013,3.4,18198
France,Lexus,Mustang,2010,4.8,3794
Germany,Lexus,Mustang,2010,3.3,6313
USA,Lexus,Mustang,2010,1.9,9418
France,Lexus,Mustang,2015,3.0,12283
Germany,Lexus,Mustang,2015,3.0,13267
